Id,Score,Text
1,5,"Absolutely loved this product, it works perfectly and exceeded my expectations."
2,4,"Great value for money, will definitely buy again!"
3,3,"The product is okay, nothing special but does the job."
4,2,"Terrible experience, the product stopped working within a week."
5,1,"Really poor build, I would not recommend this to anyone."
6,5,"This is one of the best purchases I've made on Amazon, highly recommended."
7,4,"The quality is fantastic, arrived on time and well packaged."
8,3,"Average quality, not bad but not great either."
9,2,"It arrived broken and customer service was not helpful."
10,1,"Not worth the money, very disappointed with the quality."
11,5,"I use it every day and it makes my life so much easier."
12,4,"Great value for money, will definitely buy again!"
13,3,"It arrived as described but I haven't used it much yet."
14,2,"The description was misleading, I feel cheated."
15,1,"Terrible experience, the product stopped working within a week."
16,5,"Absolutely loved this product, it works perfectly and exceeded my expectations."
17,4,"The quality is fantastic, arrived on time and well packaged."
18,3,"Neither good nor bad, just a standard product."
19,2,"Really poor build, I would not recommend this to anyone."
20,1,"It arrived broken and customer service was not helpful."
21,5,"High quality and very durable, I'm very impressed."
22,4,"Met my expectations, works as advertised."
23,3,"Average product, nothing special but functional."
24,2,"Stopped working after a few days, very disappointed."
25,1,"Worst product I have ever purchased, avoid at all costs."
26,5,"Exceeded my expectations, I would buy again."
27,4,"Good value and quality, very happy with it."
28,3,"It’s okay for the price, but don’t expect miracles."
29,2,"Broken on arrival, had to return it."
30,1,"Completely useless, I regret buying it."
31,5,"I use this every day, it makes life much easier."
32,4,"Good quality, fast shipping, satisfied overall."
33,3,"Average, nothing extraordinary."
34,2,"The product stopped functioning quickly."
35,1,"Terrible build quality, not recommended."
36,5,"Exactly as described, very happy."
37,4,"Good product, happy with my purchase."
38,3,"It’s okay, meets basic needs."
39,2,"Not very reliable, disappointing."
40,1,"I wouldn’t buy this again, very poor quality."
41,5,"Fantastic product, works perfectly."
42,4,"Good value for money, satisfied."
43,3,"Average, fine for occasional use."
44,2,"Stopped working after a week, poor quality."
45,1,"Do not buy, complete waste of money."
46,5,"Exceeded expectations, highly recommend."
47,4,"Good quality and service."
48,3,"Product is okay, nothing special."
49,2,"Received damaged, very disappointed."
50,1,"Horrible experience, will not buy again."
51,5,"Highly recommend, exactly what I needed."
52,4,"Good product, delivered on time."
53,3,"It’s acceptable for occasional use."
54,2,"Poor build quality, arrived broken."
55,1,"Completely disappointed, will return it."
56,5,"Very satisfied, works as expected."
57,4,"Met my expectations, happy with the purchase."
58,3,"Average, nothing remarkable."
59,2,"Stopped working quickly, poor quality."
60,1,"Terrible product, avoid."
61,5,"Excellent quality and service."
62,4,"Good value for the price."
63,3,"Okay product, works but nothing special."
64,2,"Not very reliable, had issues."
65,1,"Completely useless, not recommended."
66,5,"Best purchase I've made this year."
67,4,"Good product overall, happy with it."
68,3,"It’s alright, does the job."
69,2,"Arrived broken, very disappointed."
70,1,"Worst experience ever, will not buy again."
71,5,"Highly recommend, great quality."
72,4,"Met expectations, satisfied."
73,3,"Average, not bad."
74,2,"Poor quality, stopped working."
75,1,"Do not waste money on this."
76,5,"Exceeded my expectations."
77,4,"Good value, works well."
78,3,"Acceptable product."
79,2,"Broke quickly, not good."
80,1,"Terrible, will return it."
81,5,"Fantastic product, love it."
82,4,"Good quality, delivered on time."
83,3,"Okay, nothing special."
84,2,"Poor, not happy with it."
85,1,"Completely disappointed."
86,5,"Highly recommend this item."
87,4,"Satisfied with my purchase."
88,3,"Average product, works."
89,2,"Stopped working quickly."
90,1,"Do not buy, very bad."
91,5,"Best product I’ve used in a long time."
92,4,"Good value, meets expectations."
93,3,"It’s fine, nothing special."
94,2,"Broke after a few uses."
95,1,"Completely useless, very disappointed."
96,5,"Exceeded expectations, highly recommend."
97,4,"Met expectations, happy with purchase."
98,3,"Average, does the job."
99,2,"Not reliable, stopped working."
100,1,"Terrible quality, avoid at all costs."
101,5,"Absolutely love it, works perfectly every time."
102,4,"Good quality, very satisfied with the purchase."
103,3,"It’s okay, meets basic needs."
104,2,"Stopped working after a week, disappointed."
105,1,"Terrible, completely useless."
106,5,"Exceeded expectations, would buy again."
107,4,"Good product, delivered as expected."
108,3,"Average, nothing special."
109,2,"Poor quality, broke quickly."
110,1,"Do not buy this product."
111,5,"Highly recommend, excellent quality."
